my ipm,word,Freq(ipm)
439.13698603818847,отдых,57.6
439.13698603818847,предлагать,145.9
439.13698603818847,башня,39.4
436.39237987544976,рядом,291.8
436.39237987544976,внутренний,216.1
433.6477737127111,особенно,300.3
433.6477737127111,существовать,260.9
430.9031675499724,входить,157.9
430.9031675499724,западный,120.2
430.9031675499724,ваш,547.5
428.15856138723376,исторический,130.4
428.15856138723376,деревянный,75.6
428.15856138723376,час,468.1
425.41395522449517,запад,88.9
425.41395522449517,граница,153.7
422.66934906175635,аэропорт,37.2
422.66934906175635,золотой,123.5
419.9247428990177,стоить,501.9
419.9247428990177,прогулка,29.6
417.18013673627917,ансамбль,21.7
414.43553057354035,житель,94.9
414.43553057354035,правило,258.8
411.6909244108017,рынок,283.3
408.946318248063,увидеть,452.4
408.946318248063,обычно,166.7
408.946318248063,летний,93.2
408.946318248063,стоимость,98.1
406.20171208532435,число,393.5
406.20171208532435,затем,241.3
406.20171208532435,метро,48.9
406.20171208532435,появляться,118.4
403.4571059225856,язык,324.9
403.4571059225856,друг,874.2
400.7124997598469,порт,33.5
400.7124997598469,скульптура,17.7
400.7124997598469,экскурсия,15.8
400.7124997598469,земля,494.4
400.7124997598469,невский,11.6
397.9678935971083,проводить,167.6
397.9678935971083,попадать,54.1
397.9678935971083,сайт,33.8
395.22328743436964,прекрасный,148.4
395.22328743436964,власть,435.6
395.22328743436964,особый,224.3
392.4786812716309,метр,115.2
389.7340751088922,культура,230.2
389.7340751088922,колонна,41.6
389.7340751088922,высота,101.9
389.7340751088922,белый,339.6
389.7340751088922,приходиться,174.5
386.98946894615364,посещать,27.1
386.98946894615364,важный,277.0
384.2448627834148,императрица,9.7
384.2448627834148,идти,957.1
384.2448627834148,право,7.6
381.50025662067617,картина,183.9
378.75565045793746,выходить,201.6
378.75565045793746,евро,18.0
378.75565045793746,святой,115.8
376.0110442951989,сделать,743.5
376.0110442951989,сейчас,897.3
376.0110442951989,тогда,835.6
376.0110442951989,сооружение,35.3
373.26643813246017,старинный,49.1
373.26643813246017,север,47.0
373.26643813246017,округ,67.6
370.5218319697215,вариант,154.1
370.5218319697215,итальянский,40.9
367.7772258069828,я,12684.4
367.7772258069828,блюдо,31.3
365.03261964424416,внимание,286.0
365.03261964424416,побережье,14.7
365.03261964424416,скидка,13.9
365.03261964424416,вдоль,4.1
362.2880134815055,разный,352.6
362.2880134815055,музыка,175.7
362.2880134815055,галерея,23.2
359.5434073187668,возникать,138.4
359.5434073187668,вокруг,72.7
359.5434073187668,план,235.3
356.79880115602816,популярный,49.7
356.79880115602816,коллекция,37.9
356.79880115602816,приобретать,40.1
354.0541949932894,комплекс,136.3
351.30958883055075,народ,385.6
351.30958883055075,говорить,1755.0
351.30958883055075,мало,135.8
348.5649826678121,вести,280.3
348.5649826678121,прямо,118.0
348.5649826678121,поездка,69.8
345.8203765050734,решать,96.5
345.8203765050734,возводить,8.1
343.07577034233475,деньги,512.4
343.07577034233475,следовать,305.1
343.07577034233475,устраивать,57.4
340.33116417959604,красивый,177.2
340.33116417959604,форма,347.8
340.33116417959604,номер,201.2
340.33116417959604,период,204.2
337.5865580168574,цена,236.1
337.5865580168574,образ,445.9
337.5865580168574,выполнять,92.3
337.5865580168574,тут,879.2
337.5865580168574,слово,967.9
334.8419518541187,окно,280.8
334.8419518541187,происходить,263.6
334.8419518541187,купол,17.2
334.8419518541187,произведение,88.9
334.8419518541187,использовать,249.6
332.0973456913801,открываться,40.4
332.0973456913801,различный,205.5
332.0973456913801,довольно,180.2
329.35273952864134,международный,198.2
329.35273952864134,группа,372.8
329.35273952864134,лес,211.5
329.35273952864134,богатый,85.0
329.35273952864134,нет,874.0
329.35273952864134,комната,310.7
329.35273952864134,праздник,115.0
329.35273952864134,специальный,156.8
326.6081333659027,отправляться,29.6
326.6081333659027,четыре,232.7
321.1189210404253,зона,116.4
321.1189210404253,сюда,146.1
321.1189210404253,общий,492.4
318.37431487768663,князь,86.0
318.37431487768663,станция,103.0
318.37431487768663,позволять,194.3
318.37431487768663,оказываться,155.1
315.62970871494787,называться,135.3
315.62970871494787,большинство,176.1
315.62970871494787,напоминать,106.2
315.62970871494787,август,91.0
315.62970871494787,корпус,62.1
312.88510255220933,парадный,16.5
310.14049638947057,болгарский,8.8
310.14049638947057,дерево,171.9
310.14049638947057,возможность,407.5
310.14049638947057,ежедневно,27.5
310.14049638947057,наш,1731.8
310.14049638947057,замок,60.8
307.39589022673186,октябрь,92.2
307.39589022673186,достопримечательность,6.1
307.39589022673186,количество,206.7
307.39589022673186,мировой,182.3
304.65128406399316,арка,12.9
304.65128406399316,соединять,16.6
304.65128406399316,примерно,107.8
304.65128406399316,информация,269.2
304.65128406399316,петербургский,26.0
304.65128406399316,единственный,202.2
304.65128406399316,немецкий,123.6
301.90667790125457,середина,88.2
301.90667790125457,академия,70.3
301.90667790125457,общественный,168.1
301.90667790125457,военный,278.7
299.1620717385158,целый,222.5
299.1620717385158,народный,130.3
299.1620717385158,выставка,89.9
299.1620717385158,бар,26.0
299.1620717385158,основывать,1.4
296.4174655757772,сей,198.6
296.4174655757772,средство,363.9
296.4174655757772,служить,140.3
296.4174655757772,пункт,144.0
296.4174655757772,лето,135.0
296.4174655757772,горный,54.3
293.6728594130385,торговый,57.8
293.6728594130385,государство,326.4
293.6728594130385,папа,143.4
293.6728594130385,движение,244.7
290.9282532502998,подобный,301.6
288.1836470875612,английский,108.4
288.1836470875612,алтайский,5.3
288.1836470875612,посвящать,7.9
288.1836470875612,добираться,12.0
288.1836470875612,участок,144.2
285.4390409248225,помощь,300.1
285.4390409248225,семья,276.6
285.4390409248225,течение,179.2
285.4390409248225,апрель,86.2
285.4390409248225,сентябрь,92.1
285.4390409248225,императорский,11.1
285.4390409248225,эпоха,89.0
282.6944347620838,связывать,33.5
282.6944347620838,любитель,33.9
282.6944347620838,заведение,39.6
282.6944347620838,достаточно,204.7
279.94982859934515,малый,150.2
279.94982859934515,купить,192.7
279.94982859934515,обязательно,120.2
279.94982859934515,михайловский,2.8
277.20522243660645,принадлежать,113.5
277.20522243660645,услуга,138.3
277.20522243660645,собрание,109.9
277.20522243660645,предмет,154.4
277.20522243660645,э,19.4
277.20522243660645,рука,1200.6
274.4606162738678,гостиница,68.9
274.4606162738678,царь,74.7
274.4606162738678,сразу,486.0
274.4606162738678,жилой,37.8
274.4606162738678,январь,91.9
271.7160101111291,корабль,112.5
271.7160101111291,вечер,335.4
271.7160101111291,включать,75.4
271.7160101111291,книга,413.9
271.7160101111291,теперь,871.8
271.7160101111291,городок,36.3
268.97140394839045,лестница,83.1
268.97140394839045,тысяча,416.0
268.97140394839045,код,19.0
266.2267977856517,месяц,328.0
266.2267977856517,взять,525.8
266.2267977856517,полный,390.6
266.2267977856517,май,97.0
263.4821916229131,закрывать,36.4
263.4821916229131,ночь,402.8
263.4821916229131,множество,113.3
260.7375854601744,совершенно,280.3
260.7375854601744,простой,275.3
260.7375854601744,честь,84.4
260.7375854601744,дворцовый,6.4
260.7375854601744,средний,177.3
260.7375854601744,вещь,242.5
260.7375854601744,документ,226.8
260.7375854601744,культурный,72.8
257.99297929743574,оставлять,81.4
257.99297929743574,король,56.1
257.99297929743574,школа,316.0
257.99297929743574,поздно,92.5
257.99297929743574,верхний,83.9
255.24837313469703,автор,262.1
255.24837313469703,бесплатный,26.3
255.24837313469703,бассейн,33.4
255.24837313469703,открытый,134.4
255.24837313469703,условие,368.1
255.24837313469703,глава,240.2
255.24837313469703,зимний,48.2
255.24837313469703,традиция,93.1
255.24837313469703,республика,127.4
255.24837313469703,рейс,22.0
255.24837313469703,бразильский,4.8
252.50376697195838,март,88.1
252.50376697195838,состоять,139.9
252.50376697195838,офис,34.1
252.50376697195838,наиболее,167.2
252.50376697195838,далеко,165.5
249.7591608092197,камень,131.9
249.7591608092197,площадка,70.6
249.7591608092197,свет,359.7
249.7591608092197,заранее,63.0
249.7591608092197,относиться,191.6
249.7591608092197,смочь,255.1
249.7591608092197,многочисленный,62.3
249.7591608092197,империя,37.7
249.7591608092197,резиденция,10.7
249.7591608092197,программа,282.6
249.7591608092197,делать,701.1
247.01455464648103,мастер,100.8
247.01455464648103,символ,46.4
247.01455464648103,трасса,32.5
247.01455464648103,уровень,348.5
247.01455464648103,посетитель,36.2
244.26994848374238,официальный,96.4
244.26994848374238,оно,394.7
244.26994848374238,смерть,284.1
244.26994848374238,выбирать,65.2
244.26994848374238,кредитный,29.5
241.52534232100362,качество,331.7
241.52534232100362,угол,168.1
241.52534232100362,узнавать,88.2
241.52534232100362,курорт,12.8
241.52534232100362,лицо,878.0
241.52534232100362,превращаться,42.7
241.52534232100362,статуя,16.1
241.52534232100362,автомобиль,156.9
238.78073615826497,вполне,229.8
238.78073615826497,живописный,13.3
238.78073615826497,знать,1.3
238.78073615826497,нужно,353.7
238.78073615826497,фигура,97.5
238.78073615826497,гость,192.7
238.78073615826497,московский,257.3
236.03612999552632,любить,503.1
236.03612999552632,павильон,15.1
236.03612999552632,рюкзак,17.2
236.03612999552632,особняк,17.5
236.03612999552632,художественный,88.1
236.03612999552632,точка,232.2
236.03612999552632,тоже,841.5
236.03612999552632,великолепный,34.2
233.2915238327876,направление,179.2
233.2915238327876,облик,33.8
233.2915238327876,телефонный,53.3
233.2915238327876,украшение,19.6
233.2915238327876,интернет,41.4
233.2915238327876,удаваться,54.3
230.5469176700489,мойка,5.9
230.5469176700489,наличие,93.9
230.5469176700489,следующий,301.4
227.80231150731026,собственный,338.3
227.80231150731026,музыкальный,65.9
227.80231150731026,мы,4704.8
227.80231150731026,французский,101.5
227.80231150731026,размещаться,11.7
227.80231150731026,свободный,149.0
227.80231150731026,дорогой,197.7
227.80231150731026,барокко,0.8
227.80231150731026,весьма,158.8
227.80231150731026,выбор,122.0
225.05770534457162,событие,206.5
225.05770534457162,изображение,52.7
225.05770534457162,необходимый,203.7
225.05770534457162,результат,403.1
225.05770534457162,железный,98.3
225.05770534457162,очередь,212.5
222.3130991818329,решение,453.4
222.3130991818329,помогать,134.5
222.3130991818329,приходить,218.2
222.3130991818329,собираться,192.6
222.3130991818329,одежда,93.7
222.3130991818329,еврейский,51.2
222.3130991818329,надо,993.2
222.3130991818329,ноябрь,70.1
219.56849301909423,бывать,297.3
219.56849301909423,замечательный,87.4
219.56849301909423,создание,206.1
219.56849301909423,широкий,183.9
216.82388685635559,июль,77.0
216.82388685635559,сын,285.1
216.82388685635559,декабрь,92.7
216.82388685635559,царский,35.0
216.82388685635559,сохранять,40.4
214.07928069361688,сооружать,2.5
214.07928069361688,данный,241.1
214.07928069361688,войско,119.4
214.07928069361688,уникальный,49.9
214.07928069361688,состояться,103.1
214.07928069361688,размер,189.3
214.07928069361688,рыба,86.0
214.07928069361688,вино,80.9
214.07928069361688,образец,82.1
214.07928069361688,путешествовать,13.2
211.33467453087817,обращать,56.6
211.33467453087817,хотеть,991.3
211.33467453087817,нижний,83.4
211.33467453087817,указ,42.7
211.33467453087817,июнь,84.0
211.33467453087817,сцена,177.2
